# Every deployable migration must be classified before it can run.
# Format: service<TAB>filename<TAB>expand|contract
#
# `expand` migrations may run while the previous application release is live.
# `contract` migrations run only after the immutable replacement images have
# been applied. A new or renamed migration is refused until this review file is
# updated alongside it.
platform	00_globals.psql	expand
platform	01_core.psql	expand
platform	13_auth_device_authorization.psql	expand
platform	14_auth_oauth_provider.psql	expand
platform	19_rename_apikey_table.psql	contract
platform	22_auth_jwks.psql	expand
platform	33_api_key_resources.psql	expand
platform	34_api_key_resources_seed.psql	expand
platform	35_platform_apps.psql	expand
platform	38_app_audit_logs.psql	contract
platform	39_db_roles.psql	expand
platform	39b_signal_grants.psql	expand
platform	40_session_active_project.psql	expand
platform	41_apikey_org_project.psql	expand
platform	42_apikey_rename_columns.psql	contract
platform	43_api_key_usage_log.psql	expand
platform	44_mfa_two_factor.psql	expand
platform	45_passkey.psql	expand
platform	46_app_settings.psql	contract
platform	47_web_push_subscriptions.psql	expand
platform	48_deleted_project_archives.psql	expand
signal	01_signal_module_a.psql	expand
signal	02_signal_partition_cron.psql	contract
signal	03_byodkim.psql	expand
signal	04_signal_domains_degraded_status.psql	expand
signal	07_signal_events.psql	expand
signal	08_dmarc_reports.psql	expand
signal	09_signal_audience.psql	expand
signal	10_signal_dedicated_ips.psql	contract
signal	11_signal_ai_credit_topups.psql	expand
signal	12_signal_import_jobs.psql	expand
signal	14_org_wide_daily_rate_limits.psql	expand
signal	15_organization_usage_daily.psql	expand
signal	16_organization_usage_daily_cleanup.psql	contract
signal	17_contact_engagement.psql	expand
signal	18_read_time_scroll_depth.psql	expand
signal	19_webhook_endpoint_name.psql	expand
signal	20_contact_profile_image.psql	expand
signal	21_suppression_contact_link.psql	expand
signal	22_segment_contact_perf.psql	expand
signal	23_topic_contact_perf.psql	expand
signal	24_metrics_perf.psql	expand
signal	25_email_topic_tag.psql	expand
signal	26_pg18_optimizations.psql	expand
signal	27_contact_lifecycle_events.psql	expand
signal	34_contact_phone.psql	expand
signal	39_project_deletion_archives.psql	expand
signal	40_project_deletion_archive_execution.psql	expand
signal	41_project_deletion_archive_manifest.psql	expand
signal	42_project_archive_restore_audit.psql	expand
signal	43_project_deletion_execution_lease.psql	expand
signal	44_project_deletion_webhook_cancellation.psql	expand
signal	45_email_delivery_outbox.psql	expand
signal	46_webhook_delivery_leases.psql	expand
signal	51_domain_compensation_jobs.psql	expand
signal	54_migration_job_leases.psql	expand
signal	55_project_deletion_outbox_fencing.psql	expand
signal	57_partition_rotation_repair.psql	contract
signal	58_tracking_domain_uniqueness.psql	contract
signal	59_tracking_domain_normalization.psql	expand
signal	60_abuse_control_plane.psql	contract
signal	61_remove_retired_modules.psql	contract
signal	62_email_indeterminate_status.psql	expand
signal	63_domain_dkim_health_observations.psql	contract
signal	64_remove_project_tracking_domain.psql	contract
signal	65_domain_tracking_status.psql	contract
signal	66_usage_event_types.psql	expand
signal	67_dmarc_advisory_ingestion.psql	contract
signal	68_domain_tracking_status_expand_bridge.psql	expand
signal	69_domain_tracking_status_bridge_cleanup.psql	contract
signal	70_domain_tracking_disabled_status.psql	expand
signal	71_dmarc_untrusted_uploads.psql	expand
signal	72_email_engagement_statuses.psql	expand
billing	01_billing_core.psql	expand
billing	02_billing_subscription_renewal.psql	expand
billing	03_billing_subscription_display.psql	expand
